企业代号,销售规模（对数）,销项开票数量（对数）,平均销项开票金额（对数）,进购规模（对数）,进项开票数量（对数）,税价比,发票平均税率,下游客户数量,指定周期负数发票金额比率,指定周期作废发票金额比率,固定周期下游客户数量,销方基尼系数,销方HIHI指数
E370,14.5754,6.2106,8.3648,5.57652,0,0.02911,0.02999,89,0.02389,0,89,0.99398,0.00103
E371,14.24795,3.46574,10.78221,2.25339,0,0.07953,0.08641,9,0,0,9,0.90625,0.05303
E372,14.64398,6.37332,8.27066,4.483,0,0.06709,0.07191,150,0.04147,0,150,0.99488,0.00121
E373,14.10401,4.7185,9.38552,7.26424,0,0.12275,0.13993,18,0,0,18,0.97321,0.03551
E374,14.22722,5.51745,8.70977,10.7494,0,0.02913,0.03,55,0,0,55,0.98795,0.00204
E375,13.88577,5.93225,7.95352,5.57652,0,0.02916,0.03004,229,0,0,229,0.99204,0.00343
E376,13.60458,3.97029,9.63429,5.57652,0,0.02922,0.0301,13,0,0,13,0.9434,0.0456
E377,13.87806,4.46591,9.41215,5.58158,0,0.03038,0.03133,28,0.01979,0,28,0.96552,0.03684
E378,13.98665,5.89164,8.095,2.40243,0,0.10942,0.12287,76,0.07411,0,76,0.99171,0.00912
E379,14.77748,5.47646,9.30102,5.80254,0,0.08794,0.09642,51,0,0,51,0.98745,0.01432
E380,14.16839,5.23644,8.93195,5.57652,0,0.02913,0.03,6,0.09353,0,6,0.98404,0.00247
E381,14.22625,4.40672,9.81953,11.4021,0,0.12915,0.14831,14,0.12246,0,14,0.96341,0.03645
E382,13.15474,4.47734,8.6774,5.57652,0,0.02913,0.03,77,0,0,77,0.96591,0.01006
E383,13.75335,4.83628,8.91707,5.57652,0,0.02933,0.03021,10,0.06507,0,10,0.97619,0.00526
E384,14.68727,3.46574,11.22153,7.12122,0,0.13048,0.15006,4,0,0,4,0.90625,0.03551
E385,13.91233,3.3322,10.58013,5.17609,0,0.02913,0.03,8,0.05166,0,8,0.89286,0.06029
E386,15.45723,4.18965,11.26757,3.30872,0,0.02913,0.03,7,0.0564,0,7,0.95455,0.01767
E387,13.71287,4.54329,9.16957,5.57652,0,0.02952,0.03042,8,0,0,8,0.96809,0.00578
E388,13.97352,5.8693,8.10423,5.31586,0,0.02924,0.03012,94,0,0,94,0.99153,0.00303
E389,13.06381,4.15888,8.90492,7.78322,0,0.02913,0.03,2,0,0,2,0.95312,0.02029
E390,13.58494,2.63906,10.94589,3.24688,0,0.02913,0.03,1,0,0,1,0.78571,0.09482
E391,14.2036,5.85793,8.34567,5.57652,0,0.03013,0.03107,102,0.00673,0,102,0.99143,0.00204
E392,13.96917,5.56068,8.40849,5.24639,0,0.02943,0.03032,166,0.00358,0,166,0.98846,0.01024
E393,13.8462,6.40853,7.43767,8.68481,0,0.02915,0.03002,167,0.02929,0,167,0.99506,0.00181
E394,14.67582,4.36945,10.30637,5.604,0,0.02913,0.03,12,0,0,12,0.96203,0.037
E395,14.91673,4.93447,9.98225,5.57652,0,0.14337,0.16737,21,4.00E-05,0,21,0.97842,0.01886
E396,13.60819,4.2485,9.35969,6.29941,0,0.0566,0.06,14,0.02647,0,14,0.95714,0.07044
E397,13.6049,5.20949,8.39542,5.57652,0,0.02915,0.03002,95,0,0,95,0.98361,0.00594
E398,13.33565,4.48864,8.84701,6.39369,0,0.02913,0.03,24,0,0,24,0.96629,0.01215
E399,13.13137,2.94444,10.18693,5.43847,0,0.02913,0.03,9,0,0,9,0.84211,0.10189
E400,13.70175,4.89784,8.80391,5.67689,0,0.02935,0.03024,22,0,0,22,0.97761,0.00511
E401,13.14542,4.34381,8.80162,5.92629,0,0.12547,0.14347,15,0,0,15,0.96104,0.08164
E402,13.30804,3.21888,10.08916,4.54691,0,0.14179,0.16522,4,0.07128,0,4,0.88,0.07845
E403,14.09637,4.2485,9.84787,5.7841,0,0.03567,0.03699,11,0,0,11,0.95714,0.02844
E404,14.13451,3.04452,11.08998,10.72518,0,0.09258,0.10202,5,0,0,5,0.85714,0.06127
E405,13.29063,3.80666,9.48397,4.75789,0,0.02913,0.03,32,0,0,32,0.93333,0.10554
E406,13.99339,3.43399,10.5594,7.99978,0,0.02913,0.03,5,0.02449,0,5,0.90323,0.04328
E407,14.85218,3.78419,11.06799,5.6799,0,0.02913,0.03,5,0.06542,0,5,0.93182,0.03268
E408,13.36519,3.46574,9.89945,7.47342,0,0.02915,0.03003,10,0,0,10,0.90625,0.0495
E409,12.4322,4.61512,7.81708,8.82125,0,0.02913,0.03,41,0,0,41,0.9703,0.01775
E410,12.93766,4.18965,8.748,2.62467,0,0.01459,0.0148,41,0.02126,0,41,0.95455,0.0647
E411,12.8756,4.57471,8.30089,5.84392,0,0.03075,0.03172,33,0.05147,0,33,0.96907,0.01742
E412,12.77073,5.00395,7.76679,5.17604,0,0.03236,0.03345,88,0,0,88,0.97987,0.01362
E413,12.74094,3.68888,9.05206,5.33994,0,0.02913,0.03,8,0,0,8,0.925,0.02662
E414,13.13529,2.63906,10.49623,5.57652,0,0.02913,0.03,6,0,0,6,0.78571,0.13027
E415,11.35427,5.33754,6.01673,9.05619,0,0.02918,0.03005,185,0.0398,0,185,0.98558,0.00564
E416,12.33222,3.21888,9.11335,10.46698,0,0.02913,0.03,5,0,0,5,0.88,0.04136
E417,11.99331,1.79176,10.20155,5.63354,0,0.02913,0.03,2,0,0,2,0.5,0.38661
E418,13.01879,3.13549,9.88329,4.46268,0,0.02972,0.03063,13,0,0,13,0.86957,0.12263
E419,10.86045,1.38629,9.47415,7.6622,0,0.0566,0.06,2,0,0,2,0.25,0.26486
E420,11.32103,4.83628,6.48475,7.50997,0,0.12992,0.14932,74,0,0,74,0.97619,0.01629
E421,12.41187,3.3673,9.04457,5.57652,0,0.02913,0.03,6,0,0,6,0.89655,0.03681
E422,10.25114,3.4012,6.84994,5.57652,0,0.03057,0.03153,20,0,0,20,0.9,0.11231
E423,11.26943,1.94591,9.32352,7.27461,0,0.02913,0.03,3,0,0,3,0.57143,0.23477
E424,11.38339,3.7612,7.62219,9.68529,0,0.03127,0.03228,21,0.01379,0,21,0.93023,0.09207
E425,11.93541,2.89037,9.04504,4.8831,0,0.02913,0.03,2,0,0,2,0.83333,0.05838
